1.00E-05	4.74E+00
1.00E-03	4.74E+00
2.53E-02	4.74E+00
1.00E-01	4.74E+00
1.00E+01	4.74E+00
1.00E+03	4.73E+00
5.00E+03	4.72E+00
1.00E+04	4.70E+00
1.50E+04	4.68E+00
2.00E+04	4.67E+00
2.50E+04	4.65E+00
3.00E+04	4.63E+00
3.50E+04	4.62E+00
4.00E+04	4.60E+00
4.50E+04	4.58E+00
5.00E+04	4.57E+00
7.50E+04	4.49E+00
1.00E+05	4.41E+00
1.25E+05	4.33E+00
1.30E+05	4.31E+00
1.35E+05	4.30E+00
1.40E+05	4.29E+00
1.43E+05	4.28E+00
1.45E+05	4.28E+00
1.48E+05	4.29E+00
1.49E+05	4.31E+00
1.50E+05	4.34E+00
1.51E+05	4.39E+00
1.52E+05	4.48E+00
1.53E+05	4.52E+00
1.54E+05	4.45E+00
1.55E+05	4.37E+00
1.56E+05	4.32E+00
1.58E+05	4.27E+00
1.60E+05	4.25E+00
1.61E+05	4.24E+00
1.63E+05	4.23E+00
1.65E+05	4.22E+00
1.70E+05	4.20E+00
1.75E+05	4.19E+00
1.80E+05	4.17E+00
2.00E+05	4.12E+00
2.25E+05	4.05E+00
2.50E+05	3.98E+00
2.75E+05	3.92E+00
3.00E+05	3.86E+00
3.25E+05	3.79E+00
3.50E+05	3.73E+00
3.75E+05	3.68E+00
4.00E+05	3.62E+00
4.25E+05	3.56E+00
4.50E+05	3.51E+00
4.75E+05	3.46E+00
5.00E+05	3.40E+00
5.25E+05	3.35E+00
5.50E+05	3.30E+00
5.75E+05	3.25E+00
6.00E+05	3.21E+00
6.25E+05	3.16E+00
6.50E+05	3.12E+00
6.75E+05	3.07E+00
7.00E+05	3.03E+00
7.25E+05	2.99E+00
7.50E+05	2.95E+00
7.75E+05	2.90E+00
8.00E+05	2.87E+00
8.25E+05	2.83E+00
8.50E+05	2.79E+00
8.75E+05	2.75E+00
9.00E+05	2.72E+00
9.25E+05	2.68E+00
9.50E+05	2.64E+00
9.75E+05	2.61E+00
1.00E+06	2.58E+00
1.03E+06	2.54E+00
1.05E+06	2.51E+00
1.05E+06	2.51E+00
1.08E+06	2.48E+00
1.10E+06	2.45E+00
1.13E+06	2.42E+00
1.15E+06	2.39E+00
1.18E+06	2.36E+00
1.20E+06	2.33E+00
1.23E+06	2.31E+00
1.25E+06	2.28E+00
1.28E+06	2.25E+00
1.30E+06	2.22E+00
1.33E+06	2.20E+00
1.35E+06	2.17E+00
1.38E+06	2.15E+00
1.40E+06	2.12E+00
1.43E+06	2.10E+00
1.45E+06	2.08E+00
1.48E+06	2.06E+00
1.50E+06	2.03E+00
1.53E+06	2.01E+00
1.55E+06	1.99E+00
1.55E+06	1.99E+00
1.58E+06	1.97E+00
1.60E+06	1.95E+00
1.63E+06	1.93E+00
1.65E+06	1.91E+00
1.68E+06	1.89E+00
1.68E+06	1.88E+00
1.70E+06	1.87E+00
1.71E+06	1.86E+00
1.72E+06	1.85E+00
1.72E+06	1.85E+00
1.73E+06	1.85E+00
1.73E+06	1.85E+00
1.73E+06	1.86E+00
1.73E+06	1.86E+00
1.74E+06	1.86E+00
1.74E+06	1.86E+00
1.74E+06	1.85E+00
1.75E+06	1.84E+00
1.75E+06	1.83E+00
1.76E+06	1.83E+00
1.76E+06	1.82E+00
1.77E+06	1.82E+00
1.78E+06	1.81E+00
1.78E+06	1.81E+00
1.79E+06	1.80E+00
1.80E+06	1.80E+00
1.82E+06	1.78E+00
1.83E+06	1.78E+00
1.85E+06	1.76E+00
1.88E+06	1.75E+00
1.90E+06	1.73E+00
1.93E+06	1.72E+00
1.95E+06	1.70E+00
1.98E+06	1.69E+00
1.98E+06	1.68E+00
1.99E+06	1.68E+00
2.00E+06	1.67E+00
2.03E+06	1.66E+00
2.05E+06	1.68E+00
2.05E+06	1.70E+00
2.05E+06	1.70E+00
2.05E+06	1.71E+00
2.06E+06	1.73E+00
2.06E+06	1.75E+00
2.06E+06	1.79E+00
2.06E+06	1.82E+00
2.06E+06	1.85E+00
2.06E+06	1.88E+00
2.06E+06	1.93E+00
2.07E+06	1.99E+00
2.07E+06	2.06E+00
2.07E+06	2.15E+00
2.07E+06	2.27E+00
2.07E+06	2.43E+00
2.07E+06	2.64E+00
2.07E+06	2.93E+00
2.07E+06	3.31E+00
2.07E+06	3.82E+00
2.07E+06	4.45E+00
2.08E+06	5.16E+00
2.08E+06	5.77E+00
2.08E+06	6.04E+00
2.08E+06	5.87E+00
2.08E+06	5.37E+00
2.08E+06	4.77E+00
2.08E+06	4.20E+00
2.08E+06	3.73E+00
2.08E+06	3.36E+00
2.08E+06	3.07E+00
2.09E+06	2.84E+00
2.09E+06	2.66E+00
2.09E+06	2.52E+00
2.09E+06	2.41E+00
2.09E+06	2.32E+00
2.09E+06	2.24E+00
2.09E+06	2.18E+00
2.09E+06	2.12E+00
2.09E+06	2.08E+00
2.09E+06	2.04E+00
2.10E+06	2.01E+00
2.10E+06	1.98E+00
2.10E+06	1.95E+00
2.10E+06	1.93E+00
2.10E+06	1.91E+00
2.10E+06	1.89E+00
2.10E+06	1.86E+00
2.10E+06	1.84E+00
2.11E+06	1.82E+00
2.11E+06	1.80E+00
2.11E+06	1.78E+00
2.11E+06	1.77E+00
2.11E+06	1.76E+00
2.12E+06	1.75E+00
2.12E+06	1.74E+00
2.12E+06	1.73E+00
2.14E+06	1.69E+00
2.16E+06	1.66E+00
2.18E+06	1.64E+00
2.20E+06	1.63E+00
2.22E+06	1.62E+00
2.24E+06	1.61E+00
2.26E+06	1.61E+00
